ticker,diracc,mae,rmse
XLK,0.5482071713147411,0.013286411989213338,0.018207062542048676
XLP,0.49083665338645416,0.00937170236356315,0.012926959800272657
XLV,0.5195219123505976,0.012143935945267593,0.016543023548932667
MEAN,0.5195219123505976,0.011600683432681362,0.015892348630418
